"ID"	"Probesets"	"Symbol"	"logFC"	"FC"	"PValue"	"AdjPVal"
"NM_000200"	"206786_at"	"HTN3"	-10.8839769817035	1.87563727798309e-05	0.00250133222819078	0.00250133222819078
"NM_001009181"	"206835_at"	"STATH"	-9.86364617373748	5.20322846315035e-05	0.000671329147629658	0.000978134156271809
"NM_199353"	"207752_x_at"	"PRB1"	-8.42540020152408	0.000219227577394101	0.00204984929610605	0.00219445947572552
"NM_001008221"	NA	"AMY1A"	-8.06546547641732	0.000314204824805975	0.00147437525018045	0.00171774621278221
"NM_052863"	"230378_at"	"SCGB3A1"	-7.84162954818797	0.000393028060379184	0.000457442956483242	0.000736519561234291
"NM_006685"	"207441_at"	"SMR3B"	-7.73626319916994	0.000436700392289019	0.00157155216344115	0.0018101179567529
"NM_001008219"	NA	"AMY1C"	-7.42373631652536	0.000596914711536459	0.00181037831744947	0.00197643819908602
"NM_001083111"	"207987_s_at"	"GNRH1"	-7.26332139793337	0.000700776607972842	0.000548013272681168	0.000831610141293672
"NM_001110213"	NA	"PRH2"	-7.18838511886916	0.000755307868586984	0.00219622765167138	0.00227105653247791
"NM_002275"	"204734_at"	"KRT15"	-7.09710309605114	0.000827498638483858	7.13310217471429e-13	5.6977462494809e-11
"NM_001104548"	"1555942_a_at"	"MIR205HG"	-6.41812890015705	0.00163170646596705	3.09857092895951e-06	1.50466604310274e-05
"NM_006103"	"1552261_at"	"WFDC2"	-6.37423139497178	0.00170492970988259	6.17773686944234e-05	0.000162332739383182
"NM_005971"	"202488_s_at"	"FXYD3"	-6.24921014628131	0.00193197951493969	2.83714936029404e-06	1.42326418322189e-05
"NM_002353"	"202285_s_at"	"TACSTD2"	-5.79909069251149	0.00303030897560899	2.19603190497488e-10	6.05905166508979e-09
"NR_023847"	"230068_s_at"	"PEG3-AS1"	-5.79441560252427	0.00304450911034916	1.33788004674033e-08	1.9654729898708e-07
"NM_145252"	"228058_at"	"ZG16B"	-5.78670151712023	0.0030680855319912	0.000947119640969589	0.0012205979237124
"NM_002639"	"1555551_at"	"SERPINB5"	-5.6860187190367	0.00339307489839501	1.70770947762413e-08	2.30351033981744e-07
"NM_003064"	"203021_at"	"SLPI"	-5.35816963791782	0.00470951834722851	2.33289331297404e-05	8.04583091463207e-05
"NM_001884"	"205523_at"	"HAPLN1"	-5.3382347205009	0.0048043442394148	0.000150720428652097	0.000312243345364584
"NM_001008489"	"230434_at"	"PHOSPHO2"	-5.33134058342042	0.00483758048315266	4.11470266177304e-05	0.000120658189164069
"NM_000699"	NA	"AMY2A"	-5.29578076211575	0.00501269912167638	0.00129159707682202	0.00154634995193484
"NM_000526"	"209351_at"	"KRT14"	-5.18252691787637	0.00561380285755588	3.24866361361756e-05	0.000104335386955866
"NM_001584"	"205413_at"	"MPPED2"	-4.95762838096896	0.00702957956367277	3.4539929859936e-08	3.8825439675891e-07
"NM_078485"	"1555527_at"	"COL9A1"	-4.776361556154	0.00842660297999425	5.49006343635085e-05	0.000147454358666591
"NM_020978"	NA	"AMY2B"	-4.55846226288372	0.0104781592155972	0.000497653917716267	0.000776544802194792
"NM_002423"	"204259_at"	"MMP7"	-4.40242241576495	0.0122476350745839	4.94574695400905e-05	0.000135228306355112
"NM_001282433"	"218963_s_at"	"KRT23"	-4.37208263536219	0.0126249200645419	2.82775523579758e-06	1.42326418322189e-05
"NM_001126060"	"1563512_at"	"NOS1AP"	-4.35639362671125	0.0128245544828087	0.000235301644325518	0.000443565522067048
